"基金经理","年化Alpha","最大回撤","波动率","夏普Sharp","重仓股集中度","重行业集中度","总交易日","任职时间","规模中间值","规模最大值","成长Alpha","成长天数","价值Alpha","价值天数","牛市Alpha","牛市天数","熊市Alpha","熊市天数"
"王奇玮",-0.10859201945688146,-0.1439,0.09991418876842689,-1.0868528363730936,37.86216175556183,60.523964166641235,250,"20161231-20180116",586458979.52,655044021.9,nan,0,-0.10859201945688146,250,-0.10859201945688146,250,nan,0
"王威",nan,-0.0337,0.016765078374672473,nan,nan,nan,26,"20171202-20180116",2821740137.2,2821740137.2,nan,0,nan,26,nan,26,nan,0
"王孝德",-0.030832694734011144,-0.4249,0.39146984742864144,-0.07876135272367674,43.89215566610035,80.4622835636139,1765,"20070412-20141219",6454110228.9800005,10971010783.52,-0.13713995443093402,1015,0.11303646338915802,750,-0.1712688814395561,967,0.13934499015854776,798
"王宁",-0.04465550183135961,-0.669,0.7155620139316313,-0.06240619395934877,26.695670944388194,55.24641360271545,2736,"20060105-20170411",1132019561.11,3015292033.55,-0.3004729184028889,1353,0.20561272999892094,1383,-0.2950678994514019,1676,0.35127957214146177,1060
"王宏远",-0.23813812241888838,-0.603,0.36976019791304826,-0.6440339543383959,54.24423170089722,nan,630,"20050905-20080411",3067099554.38,21155568579.94,-0.4368897587594623,426,0.17690205935113357,204,-0.34175670500000044,572,nan,58
"王宗合",0.06589284326225349,-0.2966,0.3929066666962124,0.167706096250081,50.18196659339102,75.9175509929657,1712,"20101228-20180116",498747082.71,1290866719.59,0.013733803820272053,529,0.08921670789860867,1183,0.09055944765320148,1087,0.02299268490551673,625
"王小松",-0.031282834534310584,-0.2061,0.22890786946470548,-0.13666124544981612,36.42685732841492,77.23467214107514,744,"20141224-20180116",4205792532.71,7504922212.03,nan,112,0.00859153853870862,632,-0.11191294479453107,588,0.27263065798498276,156
"王少成",0.04445653103620055,-0.3088,0.3209274163223044,0.13852518910865896,54.728801484201476,72.85330045355691,1552,"20110514-20180116",2265002695.2999997,2941852418.93,0.08127335436441523,501,0.026906361209905756,1051,-0.04658308155712593,1017,0.21751687871360792,535
"王崇",0.09629239605733876,-0.1946,0.23294779590047293,0.413364701241817,47.860353314876555,64.32627520561218,789,"20141022-20180116",423968428.48,2400210058.1549997,nan,118,0.06720444685472599,671,0.030896067743936856,633,0.3616505744059513,156
"王巍",0.002106888464087152,-0.1309,0.12706302584235482,0.016581444130735062,42.2514169216156,65.74594910939534,292,"20130208-20140430",3358614380.04,3394313617.96,0.002106888464087152,292,nan,0,0.002106888464087152,292,nan,0
"王帅",-0.27593724242569345,-0.2952,0.15340918705009432,-1.79870089746052,nan,nan,249,"20060914-20070922",409654668.72,458654265.23,nan,93,0.08807500770950576,156,-0.27593724242569345,249,nan,0
"王德晓",0.4923180795692308,-0.1239,0.255773390196649,1.924821339666009,28.69117021560669,66.81356143951416,122,"20150521-20151118",1974242991.11,2337803310.0,nan,21,nan,101,nan,15,nan,107
"王志华",nan,-0.18,0.17896217362203115,nan,nan,nan,108,"20070424-20070927",34164230348.34,34165269030.45,nan,20,nan,88,nan,108,nan,0
"王忠波",0.04590744144632778,-0.5366,0.5365376123251254,0.08556239188411133,37.4846909823625,68.05543275674184,1876,"20080430-20170107",1161913208.14,2519232669.375,-0.10462997739246782,905,0.1862126567389232,971,-0.19589173081564168,1030,0.34029650460215377,846
"王怡欢",-0.011229895891789325,-0.4416,0.32567639940113036,-0.034481761381664144,28.894333161805804,61.45721820195516,1678,"20110222-20180116",7885391267.12,11865650482.0,-0.1346953098779203,529,0.045613623689292705,1149,-0.1310188361437522,1087,0.20909257120446023,591
"王战强",-0.0742819458287,-0.4498,0.29348807654639436,-0.2531003872552811,38.96051097483862,69.38818454742432,1616,"20081225-20150819",4582012577.67,8003243371.24,-0.13121343014629158,975,0.012314305668416667,641,-0.18424585410243097,857,0.049880200930967546,759
"王振州",-0.047253801190732254,-0.4907,0.34869072537896056,-0.13551780346143807,46.51292309165001,nan,985,"20071124-20111208",3818259382.235,16073383835.49,-0.2717244830904467,550,0.23655970465948123,435,-0.4246723751306775,318,0.1326848892334096,667
"王文祥",0.15394485996715937,-0.1273,0.1899192753105944,0.8105804938197958,36.98248895009359,76.17987817525864,578,"20111019-20140311",117948107.88,195114064.95,0.2559721036056078,261,0.06994135652982497,317,0.146382890747373,304,0.16233478202122917,274
