"基金经理","年化Alpha","最大回撤","波动率","夏普Sharp","重仓股集中度","重行业集中度","总交易日","任职时间","规模中间值","规模最大值","成长Alpha","成长天数","价值Alpha","价值天数","牛市Alpha","牛市天数","熊市Alpha","熊市天数"
"是星涛",0.18862256103297245,-0.0698,0.10996988414718242,1.7152201486410787,32.625079655647276,75.7085657119751,464,"20160220-20180110",155117446.36,300311522.54,nan,0,0.18862256103297245,464,0.18862256103297245,464,nan,0
"曲径",nan,-0.0722,0.041493461236238226,nan,nan,nan,37,"20171117-20180110",82871627.45,82871627.45,nan,0,nan,37,nan,37,nan,0
"曲扬",0.13746392622615783,-0.2362,0.36555502448575156,0.3760416818768575,57.97827192147573,77.32105275562832,645,"20150428-20171213",60315680.75,240022763.87,nan,37,0.20445389480168213,608,-0.008161815378221067,489,0.5939446162552685,156
"曹庆",0.08391991197722538,-0.3357,0.3365035576360221,0.24938788928941152,39.83939547340076,77.14873040914536,1312,"20120818-20180110",661583946.74,1485586221.75,0.22400555328796526,529,-0.010722877618408828,783,0.09590790027350736,1087,0.026004608519187882,225
"曹晋",0.10871449485220903,-0.2114,0.22635474832447305,0.48028369476203747,45.12595876057943,64.25271352132161,282,"20130420-20140621",1028740452.84,1201862887.48,0.10871449485220903,282,nan,0,0.10871449485220903,282,nan,0
"曹松涛",nan,-0.0347,0.04071196934414806,nan,nan,nan,25,"20171205-20180110",512884553.99,523193413.37,nan,0,nan,25,nan,25,nan,0
"李佳亮",0.17608914262405417,-0.028,0.07551847466732471,2.3317359546755294,29.60880720615387,64.81479692459106,349,"20160805-20180110",597840524.07,844415834.285,nan,0,0.17608914262405417,349,0.17608914262405417,349,nan,0
"李佳存",-0.014925144765582418,-0.2447,0.2414694885096843,-0.06180965080805161,45.40147540304396,73.94861189524333,719,"20150130-20180110",1150939396.88,3010399904.32,nan,93,-0.031855761278353475,626,-0.002739360245068505,563,-0.058903328644103685,156
"李元博",0.0735072010484165,-0.2938,0.30745557691544784,0.23908234739430806,47.97444858551025,83.22985084056855,269,"20140621-20150725",768079885.8,1226057239.94,0.33678156911434665,199,nan,70,0.11190061003688188,238,nan,31
"李劭钊",-0.25705306483440876,-0.2961,0.10633045352603183,-2.417492414545914,57.36371397972107,81.65730158487956,313,"20160928-20180110",1289947338.61,1906341779.7,nan,0,-0.25705306483440876,313,-0.25705306483440876,313,nan,0
"李化松",0.24009154647487904,-0.1411,0.24187852321679304,0.992612090076669,45.95307493209839,79.36013330221176,496,"20151230-20180110",1374503155.34,3241245978.62,nan,0,0.24009154647487904,496,0.10703484841309067,476,nan,20
"李博",0.16918652912031812,-0.1312,0.2350836038134919,0.7196866407346109,55.02306724786759,75.30716906781308,739,"20141231-20180110",739494942.07,8443346048.67,nan,112,0.16923162548457032,627,0.1969813473340497,583,0.06531230464207853,156
"李威",0.04719528078106702,-0.394,0.3490634084765914,0.13520546592677873,43.322184317641785,74.045004149278,720,"20150129-20180110",3119773529.7400002,7546467625.48,nan,94,-0.03637811945923845,626,0.11049447884099256,564,-0.18165566605097133,156
"李孟海",0.04530270065266916,-0.3198,0.3203696450630343,0.1414075938553905,48.07681470447116,83.14512923359871,702,"20150303-20180110",615019797.99,762908509.73,nan,76,-0.035113472752377,626,0.028473478915679057,546,0.10420497673213389,156
"李安杰",0.09391982108475583,-0.0629,0.09698236450600324,0.9684216461740542,nan,nan,162,"20170517-20180110",266710954.66,268261624.64,nan,0,0.09391982108475583,162,0.09391982108475583,162,nan,0
"李帅",0.10637788084314029,-0.1593,0.26415919140138494,0.4027036889339243,52.34003867421831,77.76464768818447,601,"20150727-20180110",378572320.67,760517581.6,nan,0,0.10637788084314029,601,0.09037400320780009,476,0.16732064687851553,125
"李德亮",nan,-0.1715,0.18132188807759864,nan,nan,nan,43,"20150701-20150829",9343854.14,9343854.14,nan,0,nan,43,nan,0,nan,43
"李晗",0.035354724567717266,-0.0616,0.07229239302176635,0.48905179493881734,62.620683550834656,79.74717378616333,293,"20161102-20180110",167470386.71,184160962.1,nan,0,0.035354724567717266,293,0.035354724567717266,293,nan,0
"李林益",0.022486919903854014,-0.1697,0.2002859795809532,0.11227405907743566,46.04550075531006,69.83012802260262,615,"20150707-20180110",385895671.82,1353443168.22,nan,0,0.022486919903854014,615,-0.03959953607509583,476,0.23509953174543785,139
"李欣",0.18324865845829347,-0.1962,0.23149627946512982,0.7915836007459296,33.70260405540466,78.38058066368103,613,"20150709-20180110",1616282323.18,2876153209.39,nan,0,0.18324865845829347,613,0.05454397852538393,476,0.630426962458767,137
"李海",nan,-0.1012,0.08761770631250823,nan,nan,nan,110,"20170801-20180110",1367545641.49,1367545641.49,nan,0,nan,110,nan,110,nan,0
"李游",0.12509887287695895,-0.1812,0.17590149677507452,0.7111870857865584,53.041077971458435,90.37299299240112,293,"20161102-20180110",14778373.22,883310521.18,nan,0,0.12509887287695895,293,0.12509887287695895,293,nan,0
"李湘杰",0.19174914894167625,-0.0717,0.1551653496110769,1.2357729958544026,38.22067451477051,nan,286,"20161111-20180110",376731429.86,418522272.49,nan,0,0.19174914894167625,286,0.19174914894167625,286,nan,0
"李耀柱",0.26366244866198596,-0.0596,0.139436479585495,1.8909144109617473,44.59003221988678,nan,288,"20161109-20180110",913343674.31,2129095150.32,nan,0,0.26366244866198596,288,0.26366244866198596,288,nan,0
"杜冬松",-0.024388714287077163,-0.2507,0.1867918958559611,-0.13056623348308313,36.88430717587471,76.54864268643516,751,"20120313-20150417",239709421.36,1933055907.75,0.031953703050767335,486,-0.1277185815557276,265,-0.06803037236347817,574,0.11713847066125184,177
"杜毅",-0.02897686226983869,-0.2351,0.20283138263089476,-0.14286182884514345,37.8404740691185,71.48083201050758,644,"20150228-20171017",2495578667.55,3718896681.55,nan,77,-0.004737927319147189,567,-0.020910135191974016,488,-0.054211239282646144,156
"杜洋",0.03786240586348558,-0.324,0.2007579878019527,0.18859725721517373,47.57719877362251,73.78645133972168,708,"20150216-20180110",966759839.88,1789384629.05,nan,82,0.08712747647899989,626,0.04100041566130015,552,0.026758678886603052,156
"杜蜀鹏",-0.2570676176009047,-0.3008,0.25180376580426406,-1.0209045793252052,41.64838035901388,69.40185753504436,193,"20150415-20160122",1501576791.94,3243387723.85,nan,46,-0.13901028802175358,147,nan,40,-0.22333897465871455,153
"杨大力",-0.03939520892393465,-0.2417,0.13539075994083222,-0.290974132512078,35.65738068024317,58.063617420196536,543,"20120906-20141206",6441643403.44,7310066128.57,0.0258561737335035,417,-0.25534621343307506,126,-0.05101457319469439,487,nan,56
"杨旭",0.017005123645586817,-0.0821,0.06617700175787827,0.25696425032677433,nan,nan,124,"20170712-20180110",76170000.16,215949714.97,nan,0,0.017005123645586817,124,0.017005123645586817,124,nan,0
"杨景喻",-0.01585814189441914,-0.1582,0.1643421522918923,-0.09649467086358396,43.30518345038096,75.13417947292328,496,"20151230-20180110",107322601.86,184880717.57,nan,0,-0.01585814189441914,496,0.010104453355112107,476,nan,20
"杨柯",-0.030937456102024388,-0.1935,0.2646538662599566,-0.11689780519448761,44.64648302793503,66.13592446247736,788,"20141023-20180110",486578121.1133334,1397192274.14,nan,117,-0.06797606190678813,671,-0.04014686310139463,632,0.0063724491774753604,156
"杨超",0.03263490349095304,-0.064,0.07290036584377253,0.44766446797935866,12.334444403648376,67.53982543945312,332,"20160830-20180110",240375107.21,557146209.96,nan,0,0.03263490349095304,332,0.03263490349095304,332,nan,0
"杨鑫鑫",0.03938609054097066,-0.2432,0.22924533187876295,0.17180760113274676,46.06150811910629,61.04170334339142,676,"20150409-20180110",3396877980.2,8642087014.06,nan,50,0.09858022911318402,626,-0.05479730490525181,520,0.353330742028379,156
"杨锐文",0.0442609668571848,-0.2323,0.24135856654250748,0.18338262234164235,48.56749131944444,68.63149166107178,758,"20141025-20180110",115664801.32,822707168.42,nan,115,0.024656768907053116,643,0.061327607225227634,602,-0.021598760716928966,156
"杨雨龙",0.05021625794768032,-0.1541,0.22991795868675413,0.21840946324726285,13.216520935297012,63.13997634251913,460,"20150725-20170617",1531882919.09,2538825049.34,nan,0,0.05021625794768032,460,-0.005106414707600278,335,0.19848102066383272,125
"杨飞",0.16465406261260465,-0.0962,0.17198516579995965,0.9573736307241638,64.91593968868256,78.78961372375488,422,"20160203-20171030",229642892.14,318398495.5,nan,0,0.16465406261260465,422,0.16465406261260465,422,nan,0
"杨鹏",0.0019997546511419427,-0.3749,0.21220567885187572,0.009423662278792341,47.37807011604309,79.36595328648885,268,"20140430-20150603",120761759.3,284296286.42,0.3495660250371664,223,nan,45,0.0019997546511419427,268,nan,0
"林峰",-0.02352872712815796,-0.2199,0.26253892831487213,-0.0896199557116312,52.030056306294036,76.68423066820417,651,"20150515-20180110",3483891005.44,5695093310.8,nan,25,-0.019760403818316414,626,-0.11523093091382444,495,0.26744941949943746,156
"林庆",0.08578197641919624,-0.2517,0.283180715494272,0.3029230866567656,53.29316510472979,75.81019636562893,658,"20150506-20180110",2134862788.0,5339489350.37,nan,32,0.10935852911851088,626,0.0737756823517568,502,0.12441761502082849,156
"林彤彤",0.001952501098094026,-0.1302,0.1512831925749369,0.012906265824122338,30.6367627620697,nan,353,"20090624-20101204",1572713097.03,3006354923.32,-0.0440610562187036,328,nan,25,-0.11275275544847906,128,0.06720704704458881,225
"林景艺",0.03239535285007954,-0.1373,0.19762687615451657,0.16392179788720085,9.878710959638868,57.46585839135306,648,"20150520-20180110",1961244823.2,3517078298.81,nan,22,0.03593823865642916,626,-0.052627042526649404,492,0.3005429074997631,156
"林晶",nan,-0.0327,0.035458198296699,nan,nan,nan,84,"20170906-20180110",1550715220.62,1550715220.62,nan,0,nan,84,nan,84,nan,0
"林梦",nan,-0.0463,0.04543737567968714,nan,nan,nan,55,"20171024-20180110",206062266.07,300706741.07,nan,0,nan,55,nan,55,nan,0
"柏重波",0.10330887692237921,-0.0833,0.16777330147107442,0.615764701633356,44.80990046262741,83.65646976232529,471,"20160204-20180110",275163416.54,335389906.63,nan,0,0.10330887692237921,471,0.10330887692237921,471,nan,0
"柯海东",nan,-0.0395,0.07132281021158665,nan,nan,nan,103,"20170810-20180110",43753782.89,57961325.95,nan,0,nan,103,nan,103,nan,0
"柴妍",0.03296190027195601,-0.1466,0.17331024129425301,0.19019014702075213,34.124057847261426,71.0772047996521,293,"20150812-20161027",514809292.115,893487204.5450001,nan,0,0.03296190027195601,293,0.0885517218098578,180,nan,113
"栾江伟",0.13994856729669825,-0.0469,0.09698523460074299,1.4429883875913843,16.841923534870148,63.490580002466835,451,"20150716-20170523",1261895558.22,2636465924.27,nan,0,0.13994856729669825,451,0.041582246448652785,319,0.3776671760128078,132
"桂志强",-0.0844030185357504,-0.1767,0.13930452163004756,-0.6058885781173734,49.46373492479324,71.90402245521545,256,"20140314-20150331",1609000410.17,1713611278.9,-0.017042086080152823,211,nan,45,-0.0844030185357504,256,nan,0
"桑俊",nan,-0.0486,0.03810380766303739,nan,nan,nan,27,"20171201-20180110",225572862.04,225758420.61,nan,0,nan,27,nan,27,nan,0
"梁冬冬",0.0010833031485286248,-0.2912,0.27196947731736704,0.003983179139122641,48.08762164413929,75.74613315718514,500,"20140923-20161014",2252620095.36,3562570704.795,0.4850302854121413,134,-0.17609947177858595,366,-0.00975389452233826,344,0.0249807133971069,156
"梁洪昀",0.08740986558924273,-0.1184,0.13162089504173347,0.6641032608198523,30.82558415995704,68.52872652477689,686,"20150325-20180110",195537459.54,453182351.64,nan,60,0.12451576220310556,626,0.038760401902794,530,0.2526932999085877,156
